Group Name,Code Value ID,Code,Code Value Lang ID,Title,Created
GERMPLASM_FORM,3904,**,5266,**,7/11/2011
GERMPLASM_FORM,4748,AP,13370,AP,8/21/2018
GERMPLASM_FORM,4660,BA,13187,BA,12/7/2016
GERMPLASM_FORM,1647,BD,1647,BD,1/1/2010
GERMPLASM_FORM,1648,BL,1648,BL,1/1/2010
GERMPLASM_FORM,1649,CA,1649,CA,1/1/2010
GERMPLASM_FORM,1650,CL,1650,CL,1/1/2010
GERMPLASM_FORM,1651,CM,1651,CM,1/1/2010
GERMPLASM_FORM,1652,CT,1652,CT,1/1/2010
GERMPLASM_FORM,5331,CW,14339,Crown,9/16/2022
GERMPLASM_FORM,4746,DB,13366,DB,8/15/2018
GERMPLASM_FORM,1653,DN,1653,DN,1/1/2010
GERMPLASM_FORM,4644,EA,13155,EA,7/26/2016
GERMPLASM_FORM,1654,ER,1654,ER,1/1/2010
GERMPLASM_FORM,3895,FI,5258,FI,7/7/2011
GERMPLASM_FORM,5071,FN,14043,Fungus,10/19/2020
GERMPLASM_FORM,1655,FR,1655,FR,1/1/2010
GERMPLASM_FORM,1656,GS,1656,GS,1/1/2010
GERMPLASM_FORM,1657,HE,1657,HE,1/1/2010
GERMPLASM_FORM,1658,HS,1658,HS,1/1/2010
GERMPLASM_FORM,4742,IN,13355,IN,7/6/2018
GERMPLASM_FORM,1659,IO,1659,IO,1/1/2010
GERMPLASM_FORM,1660,IV,1660,IV,1/1/2010
GERMPLASM_FORM,4402,LA,12875,LA,4/30/2013
GERMPLASM_FORM,1661,LV,1661,LV,1/1/2010
GERMPLASM_FORM,1662,MF,1662,MF,1/1/2010
GERMPLASM_FORM,3896,MI,5259,MI,7/7/2011
GERMPLASM_FORM,4758,MM,13382,MM,9/21/2018
GERMPLASM_FORM,1663,MS,1663,MS,1/1/2010
GERMPLASM_FORM,4635,PA,13143,PA,5/31/2016
GERMPLASM_FORM,1664,PD,1664,PD,1/1/2010
GERMPLASM_FORM,3897,PF,5260,PF,7/7/2011
GERMPLASM_FORM,1665,PL,1665,PL,1/1/2010
GERMPLASM_FORM,1666,PO,1666,PO,1/1/2010
GERMPLASM_FORM,1667,PR,1667,PR,1/1/2010
GERMPLASM_FORM,1668,RH,1668,RH,1/1/2010
GERMPLASM_FORM,1669,RN,1669,RN,1/1/2010
GERMPLASM_FORM,1670,RT,1670,RT,1/1/2010
GERMPLASM_FORM,1671,SC,1671,SC,1/1/2010
GERMPLASM_FORM,1672,SD,1672,SD,1/1/2010
GERMPLASM_FORM,4759,SE,13384,SE,9/21/2018
GERMPLASM_FORM,1673,SG,1673,SG,1/1/2010
GERMPLASM_FORM,1674,SP,1674,SP,1/1/2010
GERMPLASM_FORM,1675,ST,1675,ST,1/1/2010
GERMPLASM_FORM,1676,TC,1676,TC,1/1/2010
GERMPLASM_FORM,1677,TU,1677,TU,1/1/2010
GERMPLASM_FORM,4661,VI,13189,VI,12/7/2016
